1615630955500:add 4 5
1615630962900:add 5 6
1615631341028:help
1615633886462:add 5 6
1615633897785:sub 9 8
1615633901974:help
1615634556697:add
1615634563829:mul 2 3
1615782618909:add 2 3
1615788762537:greet
1615802172815:hello shiva
1615802179447:greet shiva
1615802282183:add 2 3
1615802287226:mul 2 3
1615802465814:create shiva 24 hyd
1615802482576:createuser shiva 24 hyd
1615803428182:createuser ram 25 blr
1615803453102:deleteuser ram 25 blr
1615810631076:createuser raj 23 vzg
1615810640973:deleteuser raj 23 vzg
1615810843796:createuser raj 23 vzg
1615810861327:deleteuser raj 23 vzg
1615811630894:createuser raj 23 hyd
1615811637847:delete raj 23 hyd
1615811652343:deletuser raj 23 hyd
1615811661443:deleteuser raj 23 hyd
1615811917769:createuser raj 45 hyd
1615811925706:deleteuser raj 45 hyd
1615812548789:createuser raj 23 delhi
1615812556877:deleteuser raj 23 delhi
1615813116212:createuser mahesh 43 hyderabad
1615813125589:deleteuser mahesh 43 hyderabad
1615814857566:createuser raj 27 hyd
1615814864919:deleteuser raj 27 hyd
1615815403267:createuser raj 45 hyd
1615815413769:deleteuser raj 45 hyd
1615868632109:createuser shiva 23
1615868638579:clear
1615868640605:help
1615870396340:createuser shiva 25 hyd
1615870403236:deleteuser shiva 25 hyd
1615870562482:createuser shiva 25 hyd
1615870571842:deleteuser shiva 25 hyd
1615870835640:createuser shiva 23 hyd
1615870842400:deleteuser shiva 23 hyd
1615870930718:createuser shiva 23 hyd
1615870938343:deleteuser shiva 23 hyd
1615871101355:createuser shiva 24 hyd
1615871450649:createuser shiva 25 hyd
1615871531734:createuser shiva 24 hyd
1615871564500:deleteuser shiva 25 hyd
1615871662911:createuser shiva 24 hyd
1615871708957:createuser shiva 34 hyd
1615871716660:deleteuser shiva 34 hyd
1615871791311:createuser shiva 23 hyd]
